Id,SalePrice
1461,128543.657
1462,155610.176
1463,180999.464
1464,183620.128
1465,199667.639
1466,183504.738
1467,167228.953
1468,176180.006
1469,182687.853
1470,120088.463
1471,196037.152
1472,94479.771
1473,95983.124
1474,154149.45
1475,145139.118
1476,387453.601
1477,251560.22
1478,305285.534
1479,250907.986
1480,448479.376
1481,308531.936
1482,208660.285
1483,176513.168
1484,179182.16
1485,172423.618
1486,198888.682
1487,328950.281
1488,241361.065
1489,211756.116
1490,197693.541
1491,191375.877
1492,96197.968
1493,175316.062
1494,297479.377
1495,297804.818
1496,228386.31
1497,193742.531
1498,153761.269
1499,153263.952
1500,152371.93
1501,174785.519
1502,167835.228
1503,297999.203
1504,231506.995
1505,217023.962
1506,184365.699
1507,218815.742
1508,200767.2
1509,163794.362
1510,152681.92
1511,152767.515
1512,169476.248
1513,152112.726
1514,164446.183
1515,180310.956
1516,160456.808
1517,154956.829
1518,129841.684
1519,224252.547
1520,138918.987
1521,146479.559
1522,163077.09
1523,114561.137
1524,122052.348
1525,125506.577
1526,129222.087
1527,102545.087
1528,126755.547
1529,143702.638
1530,167586.365
1531,127230.115
1532,107586.197
1533,147465.697
1534,116059.689
1535,161807.406
1536,116154.096
1537,76077.981
1538,183916.82
1539,244502.433
1540,113843.17
1541,151881.675
1542,146058.659
1543,221192.307
1544,80839.151
1545,105228.456
1546,123124.455
1547,140669.21
1548,136785.408
1549,115822.559
1550,143186.187
1551,116444.311
1552,149665.597
1553,143950.514
1554,114108.378
1555,172098.682
1556,96816.41
1557,129464.719
1558,93123.833
1559,120634.351
1560,151391.636
1561,157063.302
1562,127657.524
1563,124760.491
1564,162836.946
1565,157610.632
1566,216985.398
1567,79346.846
1568,222862.453
1569,146543.705
1570,125879.477
1571,133371.021
1572,145262.536
1573,237878.642
1574,118935.228
1575,212402.603
1576,214530.401
1577,206216.557
1578,154711.525
1579,142223.877
1580,190892.751
1581,142077.594
1582,129171.66
1583,328708.888
1584,239730.053
1585,140157.96
1586,73201.256
1587,105235.889
1588,151170.979
1589,102658.266
1590,132813.285
1591,106005.742
1592,125883.29
1593,118994.129
1594,135905.734
1595,122281.114
1596,233593.417
1597,165163.931
1598,183328.936
1599,213817.096
1600,193920.323
1601,80954.421
1602,114619.691
1603,96840.573
1604,281814.822
1605,249932.003
1606,169332.341
1607,166200.04
1608,213766.749
1609,199627.078
1610,159903.197
1611,151784.182
1612,154378.943
1613,166505.636
1614,119881.116
1615,86906.567
1616,82555.158
1617,89068.89
1618,128261.8
1619,132807.383
